Card ID,Card Name,Card URL,Card Description,Labels,Members,Due Date,Attachment Count,Attachment Links,Checklist Item Total Count,Checklist Item Completed Count,Vote Count,Comment Count,Last Activity Date,List ID,List Name,Board ID,Board Name,Archived,Start Date,Due Complete,Due Reminder
69078ba6800621e55490007a,R1: Implementar CRUD 1,https://trello.com/c/Fazr9PCN/9-r1-implementar-crud-1,Esta atividade é referente à criação de um código implementando os comandos do CRUD 1.,,luizhenriqueferraz8,2025-11-10T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:27:40.179Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-04T11:00:00.000Z,false,1440
69078baec71202488c58c73c,R1: Implementar CRUD 2,https://trello.com/c/3VrxlyPj/10-r1-implementar-crud-2,Esta atividade é referente à criação de um código implementando os comandos do CRUD 2.,,mariaeduardadejesussantana,2025-11-10T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:26:52.801Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-04T11:00:00.000Z,false,1440
69078c65895bca5db79533f5,R1: Teste automatizado do CRUD 1,https://trello.com/c/wOSx2mFO/11-r1-teste-automatizado-do-crud-1,"Uso obrigatório do SELENIUM.

Esta atividade exige a criação de um script de testes no Selenium para testar o CRUD 1",,pedrorestanideoliveira,2025-11-10T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:30:22.340Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-04T11:00:00.000Z,false,1440
69078c71dbb9093cfcf7172e,R1: Teste automatizado do CRUD 2,https://trello.com/c/f11Xo83f/12-r1-teste-automatizado-do-crud-2,"Uso obrigatório do Selenium.

Esta atividade exige a criação de um script para testar o código do CRUD 2.",,sofianogueirabatista,2025-11-10T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:27:26.390Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-04T11:00:00.000Z,false,1440
69079079ea2419df32fdfde4,R2: Implementar CRUD 3,https://trello.com/c/nYffegFn/13-r2-implementar-crud-3,Esta atividade é referente à criação de um código implementando os comandos do CRUD 3.,,sofianogueirabatista,2025-11-16T17:15:00.000Z,0,,0,0,0,0,2025-11-03T19:27:52.942Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-11T11:00:00.000Z,false,1440
6907912e3ec2f32a05db57fc,R2: Implementar CRUD 4,https://trello.com/c/saViCA7w/14-r2-implementar-crud-4,Esta atividade é referente à criação de um código implementando os comandos do CRUD 4.,,pedrorestanideoliveira,2025-11-16T17:15:00.000Z,0,,0,0,0,0,2025-11-03T19:30:52.253Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-11T11:00:00.000Z,false,1440
690790d904edbd97bbc42ca9,R2: Teste automatizado do CRUD 3,https://trello.com/c/dlbT4VvI/15-r2-teste-automatizado-do-crud-3,,,mariaeduardadejesussantana,2025-11-16T17:15:00.000Z,0,,0,0,0,0,2025-11-03T19:28:13.758Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-11T11:00:00.000Z,false,1440
690790eecba1787c772831f1,R2: Teste automatizado do CRUD 4,https://trello.com/c/hxObrfgm/16-r2-teste-automatizado-do-crud-4,,,luizhenriqueferraz8,2025-11-16T17:15:00.000Z,0,,0,0,0,0,2025-11-03T19:30:43.409Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-11T11:00:00.000Z,false,1440
690793b13aef4ffdeedb7cda,R3: Implementar CRUD 5,https://trello.com/c/Z2g0QUUq/17-r3-implementar-crud-5,Esta atividade é referente à criação de um código implementando os comandos do CRUD 5.,,pedrorestanideoliveira,2025-11-24T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:28:32.075Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-18T11:00:00.000Z,false,1440
690793bada47434fd793b195,R3: Implementar CRUD 6,https://trello.com/c/S7vYVoDW/18-r3-implementar-crud-6,Esta atividade é referente à criação de um código implementando os comandos do CRUD 6.,,luizhenriqueferraz8,2025-11-24T01:00:00.000Z,0,,0,0,0,0,2025-11-03T19:28:54.994Z,69076b437fa5f3b1095d41c5,A fazer,69076b437fa5f3b1095d4196,Engenharia Software,false,2025-11-18T11:00:00.000Z,false,1440
